x,y
0.0,0.0
0.005,0.0
0.01,-0.5091795191297878
0.015,-0.46802251476707674
0.02,-0.46712026655856476
0.025,-0.46712026655856476
0.03,-0.46712026655856476
0.035,-0.46712026655856476
0.04,-0.46712026655856476
0.045,-0.46712026655856476
0.05,-0.46712026655856476
0.055,-0.46712026655856476
0.06,-0.46712026655856476
0.065,-0.46712026655856476
0.07,-0.46712026655856476
0.075,-0.46712026655856476
0.08,-0.27623836046366335
0.085,-0.24465172636197502
0.09,-0.3377287559213754
0.095,-0.0005507766109465669
0.1,-1.7571630137117426e-06
0.105,-1.7571630137117426e-06
0.11,-1.7571630137117426e-06
0.115,-1.7571630137117426e-06
0.12,-1.7571630137117426e-06
0.125,-1.7571630137117426e-06
0.13,-1.7571630137117426e-06
0.135,-1.7571630137117426e-06
0.14,-1.7571630137117426e-06
0.145,-1.7571630137117426e-06
0.15,-1.7571630137117426e-06
0.155,-1.7571630137117426e-06
0.16,-1.7571630137117426e-06
0.165,-1.7571630137117426e-06
0.17,-1.7571630137117426e-06
0.17500000000000002,-1.7571630137117426e-06
0.18,-1.7571630137117426e-06
0.185,-1.7571630137117426e-06
0.19,-1.7571630137117426e-06
0.195,-1.7571630137117426e-06
0.2,-1.7571630137117426e-06
0.20500000000000002,-1.7571630137117426e-06
0.21,-1.7571630137117426e-06
0.215,-1.7571630137117426e-06
0.22,-1.7571630137117426e-06
0.225,-1.7571630137117426e-06
0.23,-1.7571630137117426e-06
0.23500000000000001,-1.7571630137117426e-06
0.24,-1.7571630137117426e-06
0.245,-1.7571630137117426e-06
0.25,-1.7571630137117426e-06
0.255,-1.7571630137117426e-06
0.26,-1.7571630137117426e-06
0.265,-1.7571630137117426e-06
0.27,-1.7571630137117426e-06
0.275,-1.7571630137117426e-06
0.28,-1.7571630137117426e-06
0.28500000000000003,-1.7571630137117426e-06
0.29,-1.7571630137117426e-06
0.295,-1.7571630137117426e-06
0.3,-1.7571630137117426e-06
0.305,-1.7571630137117426e-06
0.31,-1.7571630137117426e-06
0.315,-1.7571630137117426e-06
0.32,-1.7571630137117426e-06
0.325,-1.7571630137117426e-06
0.33,-1.7571630137117426e-06
0.335,-1.7571630137117426e-06
0.34,-1.7571630137117426e-06
0.34500000000000003,-1.7571630137117426e-06
0.35000000000000003,-1.7571630137117426e-06
0.355,-1.7571630137117426e-06
0.36,-1.7571630137117426e-06
0.365,-1.7571630137117426e-06
0.37,-1.7571630137117426e-06
0.375,-1.7571630137117426e-06
0.38,-1.7571630137117426e-06
0.385,-1.7571630137117426e-06
0.39,-1.7571630137117426e-06
0.395,-1.7571630137117426e-06
0.4,-1.7571630137117426e-06
0.405,-1.7571630137117426e-06
0.41000000000000003,-1.7571630137117426e-06
0.41500000000000004,-1.7571630137117426e-06
0.42,-1.7571630137117426e-06
0.425,-1.7571630137117426e-06
0.43,-1.7571630137117426e-06
0.435,-1.7571630137117426e-06
0.44,-1.7571630137117426e-06
0.445,-1.7571630137117426e-06
0.45,-1.7571630137117426e-06
0.455,-1.7571630137117426e-06
0.46,-1.7571630137117426e-06
0.465,-1.7571630137117426e-06
0.47000000000000003,-1.7571630137117426e-06
0.47500000000000003,-1.7571630137117426e-06
0.48,-1.7571630137117426e-06
0.485,-1.7571630137117426e-06
0.49,-1.7571630137117426e-06
0.495,-1.7571630137117426e-06
0.5,-1.7571630137117426e-06
0.505,-1.7571630137117426e-06
0.51,-1.7571630137117426e-06
0.515,-1.7571630137117426e-06
0.52,-1.7571630137117426e-06
0.525,-1.7571630137117426e-06
0.53,-1.7571630137117426e-06
0.535,-1.7571630137117426e-06
0.54,-1.7571630137117426e-06
0.545,-1.7571630137117426e-06
0.55,-1.7571630137117426e-06
0.555,-1.7571630137117426e-06
0.56,-1.7571630137117426e-06
0.5650000000000001,-1.7571630137117426e-06
0.5700000000000001,-1.7571630137117426e-06
0.5750000000000001,-1.7571630137117426e-06
0.58,-1.7571630137117426e-06
0.585,-1.7571630137117426e-06
0.59,-1.7571630137117426e-06
0.595,-1.7571630137117426e-06
0.6,-1.7571630137117426e-06
0.605,-1.7571630137117426e-06
0.61,-1.7571630137117426e-06
0.615,-1.7571630137117426e-06
0.62,-1.7571630137117426e-06
0.625,-1.7571630137117426e-06
0.63,-1.7571630137117426e-06
0.635,-1.7571630137117426e-06
0.64,-1.7571630137117426e-06
0.645,-1.7571630137117426e-06
0.65,-1.7571630137117426e-06
0.655,-1.7571630137117426e-06
0.66,-1.7571630137117426e-06
0.665,-1.7571630137117426e-06
0.67,-1.7571630137117426e-06
0.675,-1.7571630137117426e-06
0.68,-1.7571630137117426e-06
0.685,-1.7571630137117426e-06
0.6900000000000001,-1.7571630137117426e-06
0.6950000000000001,-1.7571630137117426e-06
0.7000000000000001,-1.7571630137117426e-06
0.705,-1.7571630137117426e-06
0.71,-1.7571630137117426e-06
0.715,-1.7571630137117426e-06
0.72,-1.7571630137117426e-06
0.725,-1.7571630137117426e-06
0.73,-1.7571630137117426e-06
0.735,-1.7571630137117426e-06
0.74,-1.7571630137117426e-06
0.745,-1.7571630137117426e-06
0.75,-1.7571630137117426e-06
0.755,-1.7571630137117426e-06
0.76,-1.7571630137117426e-06
0.765,-1.7571630137117426e-06
0.77,-1.7571630137117426e-06
0.775,-1.7571630137117426e-06
0.78,-1.7571630137117426e-06
0.785,-1.7571630137117426e-06
0.79,-1.7571630137117426e-06
0.795,-1.7571630137117426e-06
0.8,-1.7571630137117426e-06
0.805,-1.7571630137117426e-06
0.81,-1.7571630137117426e-06
0.8150000000000001,-1.7571630137117426e-06
0.8200000000000001,-1.7571630137117426e-06
0.8250000000000001,-1.7571630137117426e-06
0.8300000000000001,-1.7571630137117426e-06
0.835,-1.7571630137117426e-06
0.84,-1.7571630137117426e-06
0.845,-1.7571630137117426e-06
0.85,-1.7571630137117426e-06
0.855,-1.7571630137117426e-06
0.86,-1.7571630137117426e-06
0.865,-1.7571630137117426e-06
0.87,-1.7571630137117426e-06
0.875,-1.7571630137117426e-06
0.88,-1.7571630137117426e-06
0.885,-1.7571630137117426e-06
0.89,-1.7571630137117426e-06
0.895,-1.7571630137117426e-06
0.9,-1.7571630137117426e-06
0.905,-1.7571630137117426e-06
0.91,-1.7571630137117426e-06
0.915,-1.7571630137117426e-06
0.92,-1.7571630137117426e-06
0.925,-1.7571630137117426e-06
0.93,-1.7571630137117426e-06
0.935,-1.7571630137117426e-06
0.9400000000000001,-1.7571630137117426e-06
0.9450000000000001,-1.7571630137117426e-06
0.9500000000000001,-1.7571630137117426e-06
0.9550000000000001,-1.7571630137117426e-06
0.96,-1.7571630137117426e-06
