x,y
0.0,1.0551910960100405e-17
0.005,1.0551910960100405e-17
0.01,6.287504524128147e-06
0.015,1.2293122414515989e-06
0.02,3.421505805570406e-08
0.025,3.421505805570406e-08
0.03,3.421505805570406e-08
0.035,3.421505805570406e-08
0.04,3.421505805570406e-08
0.045,3.421505805570406e-08
0.05,3.421505805570406e-08
0.055,3.421505805570406e-08
0.06,3.421505805570406e-08
0.065,3.421505805570406e-08
0.07,3.421505805570406e-08
0.075,3.421505805570406e-08
0.08,1.0819657644215187e-05
0.085,1.119926526388768e-06
0.09,6.273476360869394e-07
0.095,2.1020098494398382e-07
0.1,4.687903960368436e-09
0.105,4.687903960368436e-09
0.11,4.687903960368436e-09
0.115,4.687903960368436e-09
0.12,4.687903960368436e-09
0.125,4.687903960368436e-09
0.13,4.687903960368436e-09
0.135,4.687903960368436e-09
0.14,4.687903960368436e-09
0.145,4.687903960368436e-09
0.15,4.687903960368436e-09
0.155,4.687903960368436e-09
0.16,4.687903960368436e-09
0.165,4.687903960368436e-09
0.17,4.687903960368436e-09
0.17500000000000002,4.687903960368436e-09
0.18,4.687903960368436e-09
0.185,4.687903960368436e-09
0.19,4.687903960368436e-09
0.195,4.687903960368436e-09
0.2,4.687903960368436e-09
0.20500000000000002,4.687903960368436e-09
0.21,4.687903960368436e-09
0.215,4.687903960368436e-09
0.22,4.687903960368436e-09
0.225,4.687903960368436e-09
0.23,4.687903960368436e-09
0.23500000000000001,4.687903960368436e-09
0.24,4.687903960368436e-09
0.245,4.687903960368436e-09
0.25,4.687903960368436e-09
0.255,4.687903960368436e-09
0.26,4.687903960368436e-09
0.265,4.687903960368436e-09
0.27,4.687903960368436e-09
0.275,4.687903960368436e-09
0.28,4.687903960368436e-09
0.28500000000000003,4.687903960368436e-09
0.29,4.687903960368436e-09
0.295,4.687903960368436e-09
0.3,4.687903960368436e-09
0.305,4.687903960368436e-09
0.31,4.687903960368436e-09
0.315,4.687903960368436e-09
0.32,4.687903960368436e-09
0.325,4.687903960368436e-09
0.33,4.687903960368436e-09
0.335,4.687903960368436e-09
0.34,4.687903960368436e-09
0.34500000000000003,4.687903960368436e-09
0.35000000000000003,4.687903960368436e-09
0.355,4.687903960368436e-09
0.36,4.687903960368436e-09
0.365,4.687903960368436e-09
0.37,4.687903960368436e-09
0.375,4.687903960368436e-09
0.38,4.687903960368436e-09
0.385,4.687903960368436e-09
0.39,4.687903960368436e-09
0.395,4.687903960368436e-09
0.4,4.687903960368436e-09
0.405,4.687903960368436e-09
0.41000000000000003,4.687903960368436e-09
0.41500000000000004,4.687903960368436e-09
0.42,4.687903960368436e-09
0.425,4.687903960368436e-09
0.43,4.687903960368436e-09
0.435,4.687903960368436e-09
0.44,4.687903960368436e-09
0.445,4.687903960368436e-09
0.45,4.687903960368436e-09
0.455,4.687903960368436e-09
0.46,4.687903960368436e-09
0.465,4.687903960368436e-09
